id	taxon_name	rank	NS_mean	WS_mean	X730NS	X730WS	X733NS	X733WS	X734NS	X734WS	X737NS	X737WS	X760NS	X760WS	X769NS	X769WS	X781NS	X781WS	X795NS	X795WS	X852NS	X852WS	X861NS	X861WS	X866NS	X866WS	X867NS	X867WS	X730NS_n_peptide	X730WS_n_peptide	X733NS_n_peptide	X733WS_n_peptide	X734NS_n_peptide	X734WS_n_peptide	X737NS_n_peptide	X737WS_n_peptide	X760NS_n_peptide	X760WS_n_peptide	X769NS_n_peptide	X769WS_n_peptide	X781NS_n_peptide	X781WS_n_peptide	X795NS_n_peptide	X795WS_n_peptide	X852NS_n_peptide	X852WS_n_peptide	X861NS_n_peptide	X861WS_n_peptide	X866NS_n_peptide	X866WS_n_peptide	X867NS_n_peptide	X867WS_n_peptide	X730NS_n_samp_children	X730WS_n_samp_children	X733NS_n_samp_children	X733WS_n_samp_children	X734NS_n_samp_children	X734WS_n_samp_children	X737NS_n_samp_children	X737WS_n_samp_children	X760NS_n_samp_children	X760WS_n_samp_children	X769NS_n_samp_children	X769WS_n_samp_children	X781NS_n_samp_children	X781WS_n_samp_children	X795NS_n_samp_children	X795WS_n_samp_children	X852NS_n_samp_children	X852WS_n_samp_children	X861NS_n_samp_children	X861WS_n_samp_children	X866NS_n_samp_children	X866WS_n_samp_children	X867NS_n_samp_children	X867WS_n_samp_children
1301	Streptococcus	genus	31.0146948130926	6738664731.28522	32.5946280908455	32.3768229342531	32.8550823182088	33.2173393378053	29.0599567225617	32.2199269020847	29.4822429677323	31.867534112767	29.7386243034358	32.6273663268153	30.9765975273438	32.1622605625758	30.4320048416576	33.2948663438177	29.2709173153807	33.0962972656762	29.7717083515699	32.5931930050471	31.5017018513668	32.6866119070347	25.7588657767717	32.4536126858182	30.3305057292846	32.4689365926413	4114	5346	5614	7843	892	5788	1034	4681	1194	5576	2013	4580	1807	8798	1017	7605	1204	5146	3100	6921	161	5496	1742	5318	18	22	23	29	13	25	15	24	10	24	14	17	18	25	15	27	13	19	18	27	10	24	13	26
29465	Veillonella	genus	31.5174111423668	4403758569.09317	31.4479485014243	21.920424571143	22.9171375392543	24.5378537864859	30.8676792142551	32.4324933754759	31.0988000566643	33.3288688564638	30.8807396421691	32.7179040245799	32.2409535027069	31.1809216913075	31.3635435158836	31.3170694053974	31.5951795517515	32.3595281666265	31.7827601682277	31.9359307868955	32.3162095879448	31.5171817167684	32.2491774053091	30.6558967747854	31.2098191063801	33.1713379383239	2012	19	3	6	1742	4215	2066	6315	1939	4297	3629	2591	2158	2560	2230	4066	2239	3020	3244	2522	3306	1853	2275	5445	6	1	0	3	6	4	6	6	6	5	5	4	4	3	5	5	3	4	3	4	4	3	5	5
848	Fusobacterium	genus	33.2600327384563	295663695.192533	24.8239696920224	22.2230310794147	18.7573651084841	21.8377660370002	33.4915301994319	21.1715570912458	34.3305378444662	21.7684334027684	34.0817806247196	25.07217654969	33.5980103323146	22.7029451283172	33.8225956159042	22.1364603241887	33.3721477454159	21.6102082978682	32.1624558639174	31.6870108167307	28.4143123912181	21.690785772578	33.2487944590635	21.0330470631104	33.9731110655864	24.2969255054082	88	6	4	6	5612	13	9295	16	8036	87	6846	23	7227	25	4751	12	3263	3268	451	6	5646	10	7594	32	3	3	3	4	4	3	4	3	4	3	5	2	5	3	4	4	5	5	2	2	5	2	5	2
117563	Granulicatella	genus	29.3359142272421	221357801.368427	30.4136710139309	26.4026369768106	30.7630672910567	25.4219532561633	27.8824118199229	24.9890858693286	25.8239366064644	27.3810583558817	27.5015455545462	27.5061433414934	27.0109231143456	24.2627637217417	29.0956776679055	28.1065791779189	26.4145412096968	21.9445920217025	29.9225612292455	28.3118610469599	30.1010152491885	25.551148395092	29.4103258457976	29.8138882560326	29.3848905900626	28.852111899597	1558	266	1767	116	450	128	172	385	394	455	342	81	818	612	181	5	1215	682	1319	138	1002	1324	1018	804	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
724	Haemophilus	genus	30.6335656864047	115638338.367866	28.1563549143249	19.0977788159069	19.8010433297404	22.6990022304284	30.6962905883115	19.2675562995274	28.3777265800901	26.0901310500467	31.1737989248531	29.2775484980954	31.5878638251912	20.5179517150306	27.3896645556626	16.6232967724271	30.413699464304	17.1733969895787	18.2538857674497	20.7634488924134	31.8664682357017	19.2732836920919	31.8862964305682	20.0731591541402	31.195747151301	29.2807338923822	386	2	2	3	1255	1	547	142	1933	933	2106	8	275	1	981	1	3	7	2401	5	2049	4	1815	890	3	2	0	1	5	1	5	1	5	3	3	1	3	1	4	1	2	2	5	3	3	2	4	4
