id	taxon_name	rank	g1_mean	Run4_P1	Run4_P2	Run4_P3	Run4_P4	Run5_P1	Run5_P2	Run5_P3	Run5_P4	Run4_P1_n_peptide	Run4_P2_n_peptide	Run4_P3_n_peptide	Run4_P4_n_peptide	Run5_P1_n_peptide	Run5_P2_n_peptide	Run5_P3_n_peptide	Run5_P4_n_peptide	Run4_P1_n_samp_children	Run4_P2_n_samp_children	Run4_P3_n_samp_children	Run4_P4_n_samp_children	Run5_P1_n_samp_children	Run5_P2_n_samp_children	Run5_P3_n_samp_children	Run5_P4_n_samp_children
204441	Rhodospirillales	order	21.66377037513639	21.65616129928196	20.945004255408932	21.441937345967798	21.012097936996607	21.958709661741246	21.716798602629442	22.02877389292186	22.0982975508263	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
204455	Rhodobacterales	order	30.42854198092115	30.48495110051669	30.36065293110875	30.41889108376865	30.453296242432852	30.508976930718994	30.356302635892707	30.359109688232778	30.476699200729712	1084.0	1062.0	1049.0	1053.0	1063.0	1047.0	1058.0	1070.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
204456	Gemmobacter	genus	20.283626981276417	NA	20.78042822777491	NA	19.519767047873238	NA	NA	NA	NA	NA	1.0	NA	1.0	NA	NA	NA	NA	NA	1.0	NA	1.0	NA	NA	NA	NA
205889	Albidovulum	genus	18.51898861330129	NA	15.133551603691636	16.25042411688086	NA	NA	NA	19.950221273607795	NA	NA	1.0	1.0	NA	NA	NA	1.0	NA	NA	1.0	1.0	NA	NA	NA	1.0	NA
206351	Neisseriales	order	30.05767389434793	30.22655724312393	29.91853829181079	30.23682941127093	30.070917096042315	30.10521165474267	29.779774904956927	30.110540597704436	29.954048502331503	645.0	636.0	657.0	647.0	660.0	651.0	663.0	649.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
206379	Nitrosomonadaceae	family	26.1650940833321	25.83670231343104	26.204040462237213	27.04357949814327	25.93604426367637	25.898677424070495	25.858962956036812	26.18683493050086	25.8948836164466	67.0	72.0	70.0	75.0	77.0	65.0	76.0	76.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
213115	Desulfovibrionales	order	25.429386502658357	25.01734248566412	25.283522389663275	25.300989677493497	25.41639612552593	25.411492756539385	25.37886609573079	26.057004205825823	25.34080576892022	44.0	40.0	42.0	40.0	42.0	44.0	41.0	42.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
215813	Dinoroseobacter shibae	species	19.128910342055025	20.663463337791264	16.608127849929254	NA	17.821633318841894	19.20273938345264	19.028711613701667	17.553005903459226	19.396552198191582	1.0	1.0	NA	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
216778	Stenotrophomonas rhizophila	species	22.973786535526635	22.685598280214624	22.74467901490547	23.194861910616826	22.90566839916043	23.01839043555005	22.934116819815937	23.255693823281657	22.956873701797765	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	NA	NA	NA	NA	NA	NA	NA	NA
218673	Sulfitobacter dubius	species	18.069423746684496	18.95516013099766	18.191406741454223	17.279634780671334	18.168248986357867	18.491451604373808	17.47086383074919	16.72000027971257	18.10090637376414	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
